page_time_jst,scrape_time_jst,sell_kwh,buy_kwh,cons_kwh,self_kwh,gen_kwh
2025-11-13T17:42+09:00,2025-11-13T17:43+09:00,0.8,1.9,11.2,9.3,10.1
2025-11-13T17:58+09:00,2025-11-13T17:58+09:00,0.8,1.9,11.2,9.3,10.1
2025-11-13T18:35+09:00,2025-11-13T18:35+09:00,0.8,2.6,11.9,9.3,10.1
2025-11-13T18:51+09:00,2025-11-13T18:51+09:00,0.8,3.2,12.5,9.3,10.1
2025-11-13T19:39+09:00,2025-11-13T19:39+09:00,0.8,3.6,12.9,9.3,10.1
2025-11-13T19:54+09:00,2025-11-13T19:54+09:00,0.8,4.0,13.3,9.3,10.1
2025-11-13T20:29+09:00,2025-11-13T20:29+09:00,0.8,4.6,13.9,9.3,10.1
2025-11-13T20:51+09:00,2025-11-13T20:51+09:00,0.8,5.1,14.4,9.3,10.1
2025-11-13T22:03+09:00,2025-11-13T22:03+09:00,0.8,6.3,15.6,9.3,10.1
2025-11-13T22:45+09:00,2025-11-13T22:46+09:00,0.8,7.5,16.8,9.3,10.1
2025-11-13T23:33+09:00,2025-11-13T23:33+09:00,0.8,8.2,17.5,9.3,10.1
2025-11-14T00:33+09:00,2025-11-14T00:33+09:00,0.0,0.4,0.4,0.0,0.0
2025-11-14T00:51+09:00,2025-11-14T00:52+09:00,0.0,0.7,0.7,0.0,0.0
2025-11-14T01:40+09:00,2025-11-14T01:40+09:00,0.0,0.9,0.9,0.0,0.0
2025-11-14T01:57+09:00,2025-11-14T01:58+09:00,0.0,1.0,1.0,0.0,0.0
2025-11-14T02:34+09:00,2025-11-14T02:34+09:00,0.0,1.1,1.1,0.0,0.0
2025-11-14T02:51+09:00,2025-11-14T02:52+09:00,0.0,1.2,1.2,0.0,0.0
2025-11-14T03:44+09:00,2025-11-14T03:44+09:00,0.0,1.5,1.5,0.0,0.0
2025-11-14T03:58+09:00,2025-11-14T03:58+09:00,0.0,1.5,1.5,0.0,0.0
2025-11-14T04:26+09:00,2025-11-14T04:26+09:00,0.0,1.6,1.6,0.0,0.0
2025-11-14T04:51+09:00,2025-11-14T04:51+09:00,0.0,1.7,1.7,0.0,0.0
2025-11-14T05:34+09:00,2025-11-14T05:34+09:00,0.0,1.9,1.9,0.0,0.0
2025-11-14T05:53+09:00,2025-11-14T05:53+09:00,0.0,2.1,2.1,0.0,0.0
2025-11-14T06:28+09:00,2025-11-14T06:28+09:00,0.0,2.4,2.4,0.0,0.0
2025-11-14T06:50+09:00,2025-11-14T06:50+09:00,0.0,2.9,2.9,0.0,0.0
2025-11-14T07:34+09:00,2025-11-14T07:34+09:00,,,,,
2025-11-14T07:50+09:00,2025-11-14T07:50+09:00,0.0,3.5,3.8,0.3,0.3
2025-11-14T08:30+09:00,2025-11-14T08:30+09:00,0.4,3.5,4.0,0.5,0.9
2025-11-14T08:51+09:00,2025-11-14T08:51+09:00,1.1,3.5,4.3,0.8,1.9
2025-11-14T11:16+09:00,2025-11-14T11:16+09:00,6.4,3.5,5.9,2.4,8.8
